session,frame,grid,variant,orientation,matched,mismatched,partner
20241219_044052,20241219_044052_000029,4,full,0,-0.01656059289376786,-0.022958061295631677,20241219_044052_000010
20241219_044052,20241219_044052_000030,4,full,0,0.07728224735808098,0.0726445274075128,20241219_044052_000062
20241219_044052,20241219_044052_000031,4,full,0,-0.21893990462927718,-0.17835542272554838,20241219_044052_000054
20241219_044052,20241219_044052_000032,4,full,0,0.23781545585297506,0.1605447315555858,20241219_044052_000036
20241219_044052,20241219_044052_000033,4,full,0,0.14918757065267949,0.15681683302331237,20241219_044052_000051
20241219_044052,20241219_044052_000034,4,full,0,-0.019038553083534287,-0.002525104819435612,20241219_044052_000021
20241219_044052,20241219_044052_000035,4,full,0,-0.06100525201891346,-0.05142369705273761,20241219_044052_000004
20241219_044052,20241219_044052_000036,4,full,0,0.17205883752366294,0.1176502825391879,20241219_044052_000043
20241219_044052,20241219_044052_000037,4,full,0,0.03764366287752419,0.002190107113919537,20241219_044052_000052
20241219_044052,20241219_044052_000038,4,full,0,-0.028021828646585516,-0.08180065249506584,20241219_044052_000009
20241219_044052,20241219_044052_000039,4,full,0,0.21537775154740582,0.2150801244801034,20241219_044052_000038
20241219_044052,20241219_044052_000040,4,full,0,-0.03395946040786927,-0.0438653147752918,20241219_044052_000034
20241219_044052,20241219_044052_000041,4,full,0,0.0912881508313889,0.08048255800060376,20241219_044052_000058
20241219_044052,20241219_044052_000042,4,full,0,-0.12027838588399442,-0.12785279773634212,20241219_044052_000039
20241219_044052,20241219_044052_000043,4,full,0,0.1823981695985072,0.1842957099191623,20241219_044052_000006
20241219_044052,20241219_044052_000044,4,full,0,0.12610389490994503,0.09019447628573533,20241219_044052_000046
20241219_044052,20241219_044052_000045,4,full,0,-0.18861741539515398,-0.09387290152909643,20241219_044052_000018
20241219_044052,20241219_044052_000046,4,full,0,-0.13313965982579087,-0.1630032448520052,20241219_044052_000008
20241219_044052,20241219_044052_000047,4,full,0,-0.37081055092961707,-0.3799215497108735,20241219_044052_000057
20241219_044052,20241219_044052_000048,4,full,0,0.13471896214188833,0.09287173105521977,20241219_044052_000013
20241219_044052,20241219_044052_000049,4,full,0,-0.12688012028650686,-0.11348819810681136,20241219_044052_000037
20241219_044052,20241219_044052_000050,4,full,0,0.13027495913962128,-0.011127741704317814,20241219_044052_000022
